Wall time,Step,Value
1615310744.146044,5568,-34.49653244018555
1615310744.1537716,5856,-38.10970687866211
1615310749.3993595,10560,-143.30087280273438
1615310757.1804464,17568,-64.46094512939453
1615310764.2236156,23520,-75.09403228759766
1615310764.2366211,24000,-74.66954803466797
1615310765.970868,26016,-39.368011474609375
1615310769.3903627,27744,-44.93503952026367
1615310772.47674,31104,-45.538177490234375
1615310772.4813347,31296,-37.76588439941406
1615310772.4979136,32064,-45.295528411865234
1615310788.4484408,47040,-36.96953201293945
1615310795.011631,52992,-79.79622650146484
1615310799.8988283,57120,-53.29019546508789
1615310799.9145823,57792,-52.89244079589844
1615310804.525507,62400,-76.80156707763672
1615310806.2257016,63648,-81.14615631103516
1615310813.4696083,70080,-73.93766021728516
1615310815.1834192,70848,-63.208587646484375
1615310824.398836,78528,-101.8456039428711
1615310824.4120002,79104,-106.98599243164062
1615310827.654911,81792,-65.62737274169922
1615310846.3230202,98880,-67.51327514648438
1615310851.530797,103872,-67.64488983154297
1615310856.3390932,107520,-78.36691284179688
1615310862.8127544,114816,-65.61905670166016
1615310871.7058043,122592,-79.77304077148438
1615310878.3377757,127872,-73.34371185302734
1615310878.3441403,128160,-70.69759368896484
1615310879.8480873,129504,-98.66503143310547
1615310879.867254,129888,-103.2585220336914
1615310884.8945246,134496,-99.08406829833984
1615310886.651606,135168,-67.2797622680664
1615310890.242028,139392,-80.96002960205078
1615310903.852086,150528,-64.1630859375
1615310906.8001175,153600,-60.59478759765625
1615310917.5174417,163872,-59.97587203979492
1615310922.870311,168000,-133.57594299316406
1615310922.8883274,168288,-104.78610229492188
1615310934.6928463,178560,-81.49214935302734
1615310937.8239,181728,-81.30181884765625
1615310940.9554732,185568,-100.6434555053711
1615310944.7783496,188448,-79.50965118408203
1615310955.3518002,196992,-86.41411590576172
1615310962.4233854,202752,-83.80899810791016
1615310972.801896,212640,-75.21402740478516
1615310979.7213013,218688,-78.987548828125
1615310984.927833,223008,-86.64360809326172
1615310993.9082541,230880,-86.81172943115234
1615310999.2492359,235392,-100.1985855102539
1615311001.1293464,237024,-96.86298370361328
1615311001.137622,237216,-91.92296600341797
1615311004.5147917,240096,-71.99726104736328
1615311004.5171487,240192,-76.6756591796875
1615311006.1250794,241344,-80.23535919189453
1615311006.1379454,241824,-85.42789459228516
