Wall time,Step,Value
1615310754.1678693,13875,-1227.63232421875
1615310767.7728214,26146,-385.1594543457031
1615310769.4252331,27696,-397.5506286621094
1615310786.6731958,44629,-2733.041259765625
1615310799.926325,56850,-3354.072265625
1615310835.7668173,89203,-603.5095825195312
1615310839.1466594,92253,-2022.76220703125
1615310875.1868584,124507,-881.5599975585938
1615310878.362463,127513,-2691.809814453125
1615310890.2516136,138253,-3183.163330078125
1615310898.617744,146036,-1027.892578125
1615310921.1768742,165934,-1588.9189453125
1615310921.1774614,165977,-3485.759765625
1615310922.9147751,167517,-3103.39013671875
1615310948.1358635,190527,-1922.4163818359375
1615310978.0146954,216609,-3013.2626953125
1615310997.5625775,233472,-569.3604736328125
1615311006.159845,241184,-3336.06982421875
1615311041.0232933,271925,-419.4068908691406
1615311058.046971,287295,-40.1613883972168
1615311064.8798912,293493,-1893.497802734375
1615311070.1716475,298105,-230.7528839111328
1615311070.1722085,298044,-3917.959228515625
1615311099.3538566,324105,-1640.1358642578125
1615311104.2417555,328778,-1492.8841552734375
1615311111.288674,334944,-1415.1976318359375
1615311116.7066426,339506,-1779.4317626953125
1615311141.062604,362582,-2357.33984375
1615311144.3491368,365664,-2802.673583984375
1615311167.8839478,385644,-651.79541015625
1615311171.2515533,388611,-2024.214599609375
1615311178.1217737,394810,-425.3394470214844
1615311178.122278,394874,-2015.8990478515625
1615311189.9263484,405549,-2586.804931640625
1615311191.5268502,407128,-673.7603149414062
1615311207.1889734,420912,-2772.065185546875
1615311277.8867846,483900,-1604.702392578125
1615311290.0945542,494642,-2691.965087890625
1615311290.0946796,494636,-2145.2646484375
1615311293.7243896,497685,-2968.384521484375
1615311310.3216808,511532,-2056.707763671875
1615311316.8098643,517702,-1078.8287353515625
1615311338.8388789,537666,-2640.072998046875
1615311344.278416,542210,-2247.6982421875
1615311362.4525967,557618,-2271.463134765625
1615311366.009202,560673,-642.1022338867188
1615311367.9043062,562227,-238.58285522460938
1615311397.7477784,589929,-2394.157958984375
