Wall time,Step,Value
1615301053.3779247,5145,-1032.00927734375
1615301068.706835,10276,-119.89482879638672
1615301099.6676292,20561,-100.62993621826172
1615301128.999543,30365,-206.31346130371094
1615301131.646524,31242,-1270.330322265625
1615301151.70158,37921,-141.4550323486328
1615301167.9721131,43323,-1559.88525390625
1615301171.528527,44521,-416.62603759765625
1615301241.429299,67938,-1092.9833984375
1615301277.460769,80061,-663.8593139648438
1615301304.8385065,89188,-480.9071960449219
1615301310.5896401,91085,-1459.185302734375
1615301344.0186386,102346,-2346.553466796875
1615301354.9141867,105977,-142.6788787841797
1615301408.3042161,123928,-1092.5731201171875
1615301476.942918,146922,-343.2923583984375
1615301606.9441738,190499,-892.6639404296875
1615301625.8570242,196839,86.88636016845703
1615301697.0995822,220729,3.504826068878174
1615301698.80721,221301,-1034.177490234375
1615301718.3767283,227786,122.01773834228516
1615301721.5564117,228833,105.74998474121094
1615301734.4579325,233144,-1362.677734375
1615301808.6842105,257770,-1404.1075439453125
1615301819.7719724,261498,103.43206024169922
1615301820.8575974,261863,-12.831931114196777
1615301865.7829454,276787,94.54153442382812
1615301872.6642811,279063,140.95098876953125
1615301890.591873,284995,165.29295349121094
1615301912.4502053,292293,104.49394226074219
1615301919.99179,294778,51.613037109375
1615301925.357795,296572,123.12472534179688
1615301935.576531,300029,163.6248779296875
1615301942.197993,302236,127.32814025878906
1615301949.0079637,304480,146.76602172851562
1615301949.1506777,304527,138.01986694335938
1615301950.7677248,305068,140.82171630859375
1615301982.4318092,315520,169.48788452148438
1615301994.5834174,319546,-1474.9034423828125
1615302072.0190291,345322,121.57728576660156
1615302130.4492202,364817,89.24951171875
1615302132.598423,365533,121.01822662353516
1615302140.3068218,368116,86.1115493774414
1615302212.6217709,392369,101.03775024414062
1615302212.8956344,392458,107.22998046875
1615302221.7742054,395405,88.58072662353516
1615302230.5081136,398358,94.48124694824219
1615302252.4279773,405650,104.10712432861328
1615302253.6036499,406036,74.5814437866211
1615302278.7232227,414423,108.17012786865234
1615302282.7625442,415771,99.36090087890625
1615302293.8757474,419468,174.72927856445312
1615302338.434422,434324,-928.1385498046875
1615302356.4706998,440345,21.73786735534668
1615302376.0900805,446845,140.27841186523438
1615302379.5990531,448019,109.64278411865234
1615302409.252149,457892,59.478981018066406
1615302428.1980557,464140,159.2457275390625
1615302456.890668,473802,160.79298400878906
1615302476.424703,480395,163.04090881347656
1615302480.1934907,481668,144.1725616455078
1615302511.7581022,492259,130.9770965576172
1615302513.8153105,492959,156.74339294433594
1615302548.8120499,504792,164.94715881347656
1615302567.9808366,511228,176.912109375
1615302579.1851923,515037,95.02510833740234
1615302594.7931297,520261,140.6477813720703
1615302606.6656075,524191,90.03343200683594
1615302608.599104,524837,-309.7488708496094
1615302616.7678757,527606,117.72509765625
1615302630.215167,532156,138.5132293701172
1615302672.4474413,546515,-492.8111877441406
1615302675.6888442,547622,155.65695190429688
1615302685.2467523,550873,92.19645690917969
1615302726.906214,564974,164.971435546875
1615302730.9680557,566356,150.8941192626953
1615302745.5972798,571314,153.8138885498047
1615302748.0407212,572144,21.856353759765625
1615302770.433715,579704,168.70101928710938
1615302787.0629778,585293,170.28086853027344
1615302814.972593,594731,145.53892517089844
1615302848.5179493,606101,172.90505981445312
1615302860.558972,610188,142.010986328125
1615302861.0148165,610343,148.3157958984375
1615302868.123715,612739,139.38453674316406
1615302912.5418267,627760,229.85818481445312
1615302914.1856387,628300,169.02491760253906
1615302919.5116386,630103,150.09600830078125
1615302944.2086701,638483,49.79402160644531
1615302955.3364468,642233,156.08575439453125
1615302971.8086264,647836,140.3451690673828
1615302977.7636063,649875,164.8618927001953
1615303000.1579392,657504,182.47842407226562
1615303003.1761286,658515,175.63734436035156
1615303022.4030402,665030,136.08309936523438
1615303023.6770575,665470,151.26797485351562
1615303043.426496,672165,106.47918701171875
1615303082.2536762,685388,127.55980682373047
1615303090.1254323,688063,147.5128631591797
1615303098.5724719,690924,191.6709442138672
1615303141.6047828,705502,166.98446655273438
1615303168.101329,714554,120.1435546875
1615303178.5568562,718158,150.9148406982422
1615303180.2447999,718737,153.03286743164062
1615303203.6883247,726715,184.37498474121094
1615303232.3521276,736454,-1059.798583984375
1615303244.1746037,740484,133.34193420410156
